issued_id,issued_member_id,issued_book_name,issued_date_time,issued_book_isbn,issued_emp_id
1,4001,Clean Code,2025-05-01 10:30:00,9780132350884,3001
2,4002,Effective Java,2025-05-02 11:15:00,9780134685991,3002
3,4003,Core Java Volume I,2025-05-03 09:45:00,9780134494166,3003
4,4004,Let Us C,2025-05-04 13:00:00,9788177582893,3004
5,4005,Operating System Concepts,2025-05-05 14:30:00,9781259029943,3005
6,4006,Python Crash Course,2025-05-06 15:20:00,9789389845827,3006
7,4007,Computer Networks,2025-05-07 10:50:00,9789332548874,3007
8,4008,Spring in Action,2025-05-08 11:40:00,9781617294945,3008
9,4009,Head First Java,2025-05-09 12:00:00,9780596009205,3009
10,4001,Introduction to Java,2025-05-10 09:30:00,9780321573513,3010
11,4002,Artificial Intelligence,2025-05-11 10:00:00,9780136091813,3002
12,4003,Data Communication,2025-05-12 11:10:00,9789353437180,3003
13,4004,Database Systems,2025-05-13 13:45:00,9780073523323,3004
14,4005,Design Patterns,2025-05-14 14:15:00,9780201633610,3005
15,4006,Computer Organization,2025-05-15 15:30:00,9780135166307,3006
16,4007,Learning SQL,2025-05-16 10:45:00,9781449355739,3007
17,4008,Intro to Algorithms,2025-05-17 12:20:00,9780262033848,3008
18,4009,Designing Data Apps,2025-05-18 13:55:00,9781491950357,3009
19,4001,Java Concurrency,2025-05-19 14:35:00,9781492072508,3010
20,4002,The C Programming Language,2025-05-20 11:25:00,9780131103627,3001
,,,,,
